ANCHORING_GROUP;PEAK_ABSORPTION_SOLUTION;DONOR;STRUCTURE;PEAK_ABSORPTION_METAL_OXIDE;METAL_OXIDE;SOLVENT;AGGREGATION;DOI
cyanoacrylic,carboxylic;385;carbazole;N#C/C(=C\c1ccc2c(c1)c1ccccc1n2CC)/C(=O)O;408;TiO2;acetonitrile;BATHOCHROMIC;10.3390/ijms11010329
cyanoacrylic,carboxylic;368;misc;N#C/C(=C\c1ccc2c(c1)CCc1c(N2CC)cccc1)/C(=O)O;414;TiO2;acetonitrile;BATHOCHROMIC;10.3390/ijms11010329
cyanoacrylic,carboxylic;400;phenothiazine;CCN1c2ccc(cc2Sc2c1cccc2)/C=C(/C(=O)O)\C#N;426;TiO2;acetonitrile;BATHOCHROMIC;10.3390/ijms11010329
carboxylic;381;phenothiazine;CCN1c2ccc(cc2Sc2c1cccc2)/C=C/C(=O)O;412;TiO2;acetonitrile;BATHOCHROMIC;10.3390/ijms11010329
benzoic,carboxylic;407;coumarin,tetrahydroquinoline;OC(=O)c1ccc(cc1)c1ccccc1c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C;422;TiO2;acetonitrile;BATHOCHROMIC;10.1039/C6RA17930D
benzoic,carboxylic;414;coumarin,tetrahydroquinoline;OC(=O)c1ccc(cc1)c1cccc(c1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C;429;TiO2;acetonitrile;BATHOCHROMIC;10.1039/C6RA17930D
benzoic,carboxylic;420;coumarin,tetrahydroquinoline;OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C;437;TiO2;acetonitrile;BATHOCHROMIC;10.1039/C6RA17930D
cyanoacrylic,carboxylic;385;triphenylamine,phenothiazine;N#C/C(=C\c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O;385;TiO2;acetonitrile;UNCHANGED;10.1039/C2JM34682F
cyanoacrylic,carboxylic;406;triphenylamine,phenothiazine;N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O;418;TiO2;acetonitrile;BATHOCHROMIC;10.1039/C2JM34682F
cyanoacrylic,carboxylic;421;triphenylamine,phenothiazine;N#C/C(=C\c1ccc(o1)c1ccc(cc1)N(c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)c1ccc(cc1)N1c2ccccc2Sc2c1cccc2)/C(=O)O;423;TiO2;acetonitrile;UNCHANGED;10.1039/C2JM34682F
benzoic,carboxylic;556;perylene,anthracene;O=C1OC(=O)c2c3c1ccc1c3c(cc2)c2c3c1cccc3c(cc2)N(C)C;455;TiO2;acetonitrile;HYPSOCHROMIC;10.1039/B203260K
benzoic,carboxylic;560;perylene,anthracene;CCCCCCCCN(c1ccc2c3c1cccc3c1c3c2ccc2c3c(cc1)C(=O)OC2=O)CCCCCCCC;452;TiO2;acetonitrile;HYPSOCHROMIC;10.1039/B203260K
carboxylic;500;perylene,anthracene;CCCCCCCCN(c1ccc2c3c1cccc3c1c3c2ccc2c3c(cc1)c(=O)n(c2=O)CC(=O)O)CCCCCCCC;531;TiO2;acetonitrile;BATHOCHROMIC;10.1039/B203260K
cyanoacrylic,carboxylic;476;triphenylamine;N#CC(=Cc1ccc(s1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)C(=O)O;444;TiO2;acetonitrile;HYPSOCHROMIC;10.1039/b603002e
cyanoacrylic,carboxylic;525;coumarin,tetrahydroquinoline;N#C/C(=C/c1ccc(s1)/C=C/c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O;540;TiO2;acetonitrile;BATHOCHROMIC;10.1021/jp067872t
squaraine;421;indoline;CCCCCCCCCCCCN1c2ccccc2C(/C/1=C\C1=C(O)C(=O)C1=O)(C)C;440;TiO2;acetonitrile;BATHOCHROMIC;10.1016/j.dyepig.2019.02.028
cyanoacrylic,carboxylic;465;squaraine;CCCCCCCCCCCC[N+]1=C(CC2=C([O-])C(=O)/C/2=C(/C(=O)OCC)\C#N)C(c2c1cccc2)(C)C;483;TiO2;acetonitrile;BATHOCHROMIC;10.1016/j.dyepig.2019.02.028
cyanoacrylic,carboxylic;460;squaraine;CCOC(=O)C[N+]1=C(CC2=C([O-])C(=O)/C/2=C(/C(=O)OCC)\C#N)C(c2c1cccc2)(C)C;486;TiO2;acetonitrile;BATHOCHROMIC;10.1016/j.dyepig.2019.02.028
squaraine;515;squaraine;CCCCCCCCCCCCn1c2N(C)C=CC(c2c2c1cccc2)CC1=C(C(=O)C1=O)OCC;508;TiO2;acetonitrile;UNCHANGED;10.1016/j.dyepig.2019.02.028
cyanoacrylic,carboxylic;441;triphenylamine;CCCCC(CC1(CC(CCCC)CC)c2cc(sc2c2c1cc(s2)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1OCC(CCCC)CC)OCC(CCCC)CC)c1ccc(cc1)c1ccc(cc1OCC(CCCC)CC)OCC(CCCC)CC)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC;468;TiO2;acetonitrile;BATHOCHROMIC;10.1016/j.dyepig.2019.02.028
carboxylic,rhodanine;472;triphenylamine;COc1cc(ccc1/C=C/1\SC(=S)N(C1=O)CC(=O)O)N(c1ccccc1)c1ccccc1;420;TiO2;acetonitrile;HYPSOCHROMIC;10.1016/j.orgel.2018.11.041
carboxylic,rhodanine;493;tetrahydroquinoline;COc1c(/C=C/2\SC(=S)N(C2=O)CC(=O)O)cc2c3c1CCCN3CCC2;420;TiO2;acetonitrile;HYPSOCHROMIC;10.1016/j.orgel.2018.11.041
carboxylic,rhodanine;494;carbazole;COc1cc2c(cc1/C=C/1\SC(=S)N(C1=O)CC(=O)O)c1c(n2CC)cccc1;420;TiO2;acetonitrile;HYPSOCHROMIC;10.1016/j.orgel.2018.11.041
